proxy,protocol,latency_ms,https,exit_ip,checks_passed,checks_total
47.104.27.165:8090,http,4884,false,47.104.27.165,1,3
8.221.141.88:1527,http,4895,false,8.221.141.88,1,3
47.91.109.17:3128,http,4898,false,47.91.109.17,1,3
8.137.38.48:9080,http,4944,false,8.137.38.48,1,3
174.138.165.211:33713,http,5043,false,208.115.146.139,1,3
39.102.211.162:9080,http,5182,false,39.102.211.162,1,3
157.230.38.173:3128,http,5246,true,157.230.38.173,1,3
47.238.128.246:4145,http,5342,false,47.238.128.246,1,3
174.138.165.213:38245,http,5400,false,68.230.13.95,1,3
47.250.11.111:808,http,5404,false,47.250.11.111,1,3
197.221.240.182:80,http,5510,false,41.220.17.62,3,3
108.170.12.12:80,http,5587,false,108.170.12.10,1,3
204.77.11.13:999,http,5667,false,104.238.232.210,1,3
192.203.0.78:999,http,5674,false,192.203.0.78,1,3
186.31.135.201:999,http,5861,false,186.31.135.203,2,3
38.7.195.53:999,http,5943,false,151.241.85.26,1,3
149.129.226.9:1081,http,5954,false,149.129.226.9,1,3
103.104.142.161:8080,http,6069,false,103.104.142.67,1,3
151.185.58.17:80,http,6080,false,151.185.58.17,2,3
152.230.215.123:80,http,6093,false,152.230.215.123,1,3
95.31.32.90:8080,http,6107,false,195.178.4.150,1,3
103.68.233.142:8097,http,6148,false,103.68.233.141,2,3
41.33.219.140:1976,http,6177,false,41.33.219.132,1,3
154.113.18.189:8443,http,6222,false,154.113.18.189,2,3
201.139.115.206:8082,http,6353,false,201.139.115.206,2,3
103.82.246.19:6080,http,6418,false,103.82.246.19,1,3
38.58.114.3:3125,http,6512,false,38.58.114.3,1,3
152.32.68.171:65535,http,6685,false,152.32.68.171,1,3
179.1.48.37:8080,http,6745,false,179.1.48.37,1,3
149.129.226.9:4002,http,6810,false,149.129.226.9,1,3
206.245.131.160:80,http,6912,false,206.245.131.160,3,3
174.138.165.202:8161,http,6952,false,129.222.206.219,1,3
103.180.126.114:8080,http,7014,false,103.180.126.113,1,3
186.33.45.220:999,http,7028,false,186.33.45.218,1,3
168.121.242.91:999,http,7127,false,192.81.249.2,1,3
174.138.162.36:38448,http,7221,false,71.38.218.131,1,3
196.204.3.20:1981,http,7282,false,196.204.3.20,1,3
46.8.43.28:3128,http,7284,false,46.8.43.28,2,3
174.138.165.202:36036,http,7522,false,47.144.69.218,1,3
103.172.42.179:1111,http,7818,false,150.107.104.84,1,3
185.204.170.179:1120,http,7860,false,129.146.77.248,2,3
103.247.21.254:1111,http,7879,false,103.247.21.254,1,3
185.146.138.151:8080,http,7944,false,185.146.138.151,1,3
177.234.217.43:999,http,7956,false,177.234.217.42,1,3
201.219.22.2:3128,http,8148,false,201.219.22.2,1,3
174.138.165.213:38247,http,8292,false,72.210.42.167,1,3
142.54.231.38:4145,socks5,626,false,142.54.231.38,3,3
94.183.233.251:1080,socks5,666,false,94.183.233.251,3,3
192.111.134.10:4145,socks5,801,true,192.111.134.10,3,3
101.36.104.46:10808,socks5,803,false,101.36.104.46,3,3
199.102.105.242:4145,socks5,827,true,199.102.105.242,3,3
107.181.168.145:4145,socks5,828,false,107.181.168.145,3,3
104.200.152.30:4145,socks5,834,false,104.200.152.30,3,3
18.231.254.94:80,socks5,843,false,18.231.254.94,1,3
192.111.135.17:18302,socks5,846,false,192.111.135.17,3,3
192.111.139.162:4145,socks5,857,false,192.111.139.162,3,3
98.182.147.97:4145,socks5,893,false,98.182.147.97,3,3
72.223.188.67:4145,socks5,893,false,72.223.188.67,3,3
192.252.214.20:15864,socks5,996,false,192.252.214.20,3,3
198.8.94.174:39078,socks5,1001,false,198.8.94.174,3,3
184.170.249.65:4145,socks5,1014,false,184.170.249.65,3,3
98.170.57.231:4145,socks5,1140,true,98.170.57.231,3,3
98.175.31.195:4145,socks5,1149,true,98.175.31.195,3,3
174.77.111.196:4145,socks5,1149,true,174.77.111.196,3,3
184.181.178.33:4145,socks5,1153,true,70.166.167.45,3,3
184.178.172.25:15291,socks5,1159,true,184.178.172.25,3,3
152.69.211.50:40001,socks5,1160,false,104.28.222.43,3,3
184.178.172.3:4145,socks5,1161,true,184.178.172.3,3,3
184.178.172.26:4145,socks5,1166,true,184.178.172.26,3,3
24.249.199.4:4145,socks5,1175,true,24.249.199.4,3,3
165.22.63.133:1080,socks5,1179,false,104.28.222.46,3,3
184.185.2.12:4145,socks5,1182,true,184.185.2.12,3,3
65.2.160.130:30567,socks5,1199,true,65.2.160.130,1,3
51.178.49.241:1088,socks5,1251,true,51.178.49.241,3,3
185.222.138.237:1080,socks5,1255,true,185.222.138.237,3,3
31.76.31.241:1080,socks5,1276,false,31.76.31.241,3,3
18.170.25.193:4328,socks5,1285,false,18.170.25.193,2,3
212.48.134.145:1080,socks5,1288,false,212.48.134.145,3,3
43.203.140.58:11212,socks5,1427,false,43.203.140.58,2,3
184.182.240.12:4145,socks5,1478,true,184.182.240.12,3,3
65.21.252.66:10808,socks5,1487,false,89.40.181.202,3,3
216.105.128.144:4145,socks5,1528,false,216.105.128.144,3,3
144.24.111.128:1088,socks5,1534,false,144.24.111.128,3,3
54.206.129.120:8679,socks5,1574,false,54.206.129.120,2,3
146.190.94.105:1080,socks5,1600,true,104.28.222.47,2,3
54.67.77.88:58030,socks5,1627,false,54.67.77.88,1,3
3.21.247.154:51430,socks5,1712,false,3.21.247.154,1,3
165.22.243.171:1080,socks5,1714,false,104.28.222.47,2,3
65.21.252.66:10809,socks5,1726,true,178.249.210.9,2,3
34.207.102.197:8185,socks5,1758,false,34.207.102.197,1,3
18.230.23.72:31786,socks5,2102,false,18.230.23.72,1,3
16.63.202.203:2349,socks5,2127,false,16.63.202.203,1,3
34.207.102.197:44210,socks5,2134,false,34.207.102.197,1,3
40.176.175.23:36015,socks5,2223,false,40.176.175.23,1,3
51.85.44.149:41625,socks5,2317,false,51.85.44.149,1,3
54.117.6.131:46510,socks5,2430,false,54.117.6.131,1,3
56.68.116.64:26951,socks5,2476,false,56.68.116.64,1,3
15.135.215.62:396,socks5,2479,false,15.135.215.62,1,3
109.172.55.227:1082,socks5,2723,false,109.172.55.227,3,3
45.93.170.251:888,socks5,2909,false,45.93.170.251,1,3
108.131.109.106:1080,socks5,3042,false,108.131.109.106,1,3
161.35.90.93:1082,socks5,3115,false,24.152.37.60,2,3
13.60.163.108:8888,socks5,3198,false,13.60.163.108,1,3
132.243.19.168:1080,socks5,3654,true,91.186.223.234,3,3
147.45.60.250:1082,socks5,3970,false,147.45.60.250,1,3
195.19.50.126:1080,socks5,4136,false,195.19.50.126,2,3
161.97.119.1:8888,socks5,4348,false,153.72.141.227,3,3
